,timestamp,acc_x,acc_y,acc_z,activity_label
0,2023-05-13 16:42:13.600114,0.14,-0.67,0.71,shaking
1,2023-05-13 16:42:13.700724,0.16,-0.8,0.6,shaking
2,2023-05-13 16:42:13.800897,0.3,-0.77,0.75,shaking
3,2023-05-13 16:42:13.901389,0.21,-0.76,0.74,shaking
4,2023-05-13 16:42:14.001884,-0.22,-1.01,-0.57,shaking
5,2023-05-13 16:42:14.102021,0.06,-0.73,-1.76,shaking
6,2023-05-13 16:42:14.202120,0.57,-0.53,4.05,shaking
7,2023-05-13 16:42:14.302139,-0.63,-0.34,-3.37,shaking
8,2023-05-13 16:42:14.402374,-0.11,1.06,-2.05,shaking
9,2023-05-13 16:42:14.502395,0.74,0.22,6.36,shaking
10,2023-05-13 16:42:14.602418,0.32,2.06,0.1,shaking
11,2023-05-13 16:42:14.702868,-0.09,1.18,-2.98,shaking
12,2023-05-13 16:42:14.803363,2.17,2.36,3.04,shaking
13,2023-05-13 16:42:14.903409,1.05,1.12,3.85,shaking
14,2023-05-13 16:42:15.003905,0.64,2.51,-0.77,shaking
15,2023-05-13 16:42:15.103922,-0.13,0.54,-2.9,shaking
16,2023-05-13 16:42:15.204361,1.89,2.51,5.16,shaking
17,2023-05-13 16:42:15.304382,0.86,0.92,5.96,shaking
18,2023-05-13 16:42:15.404851,0.49,2.57,-1.39,shaking
19,2023-05-13 16:42:15.504949,-0.75,-0.53,-6.04,shaking
20,2023-05-13 16:42:15.605345,1.63,2.27,1.99,shaking
21,2023-05-13 16:42:15.705794,-0.08,0.75,5.88,shaking
22,2023-05-13 16:42:15.805812,1.53,2.02,1.73,shaking
23,2023-05-13 16:42:15.906339,-1.34,-0.34,-6.26,shaking
24,2023-05-13 16:42:16.006363,-0.13,1.8,-1.5,shaking
25,2023-05-13 16:42:16.106390,1.26,0.96,7.36,shaking
26,2023-05-13 16:42:16.206412,1.32,1.98,0.67,shaking
27,2023-05-13 16:42:16.306828,-0.74,0.94,-3.47,shaking
28,2023-05-13 16:42:16.407322,-0.04,1.51,-1.48,shaking
29,2023-05-13 16:42:16.507349,2.7,1.91,4.62,shaking
