,timestamp,acc_x,acc_y,acc_z,activity_label
0,2023-05-13 16:42:31.014484,0.6,-0.72,0.06,shaking
1,2023-05-13 16:42:31.114992,0.56,-0.81,-0.16,shaking
2,2023-05-13 16:42:31.215470,0.53,-0.84,-0.27,shaking
3,2023-05-13 16:42:31.315885,0.3,-0.77,-0.12,shaking
4,2023-05-13 16:42:31.415971,2.91,-0.88,-0.94,shaking
5,2023-05-13 16:42:31.515992,0.64,-0.05,-0.36,shaking
6,2023-05-13 16:42:31.616308,-2.19,-0.09,0.13,shaking
7,2023-05-13 16:42:31.716327,-1.12,0.74,-0.07,shaking
8,2023-05-13 16:42:31.816459,4.6,1.55,-0.2,shaking
9,2023-05-13 16:42:31.916956,3.29,1.55,0.23,shaking
10,2023-05-13 16:42:32.017453,-0.15,2.65,-0.27,shaking
11,2023-05-13 16:42:32.117981,-2.47,0.63,-0.81,shaking
12,2023-05-13 16:42:32.218001,1.69,2.82,-0.4,shaking
13,2023-05-13 16:42:32.318392,7.61,-0.02,0.87,shaking
14,2023-05-13 16:42:32.418410,1.33,2.06,-0.6,shaking
15,2023-05-13 16:42:32.518430,-1.29,1.63,-0.54,shaking
16,2023-05-13 16:42:32.618934,-2.0,0.61,-0.78,shaking
17,2023-05-13 16:42:32.718953,3.19,2.47,0.32,shaking
18,2023-05-13 16:42:32.819429,5.7,-0.06,0.16,shaking
19,2023-05-13 16:42:32.919953,1.32,1.58,-0.28,shaking
20,2023-05-13 16:42:33.019972,-3.14,0.73,-0.73,shaking
21,2023-05-13 16:42:33.119994,-1.61,0.69,-0.23,shaking
22,2023-05-13 16:42:33.220015,3.16,1.92,-0.14,shaking
23,2023-05-13 16:42:33.320041,6.07,0.11,1.77,shaking
24,2023-05-13 16:42:33.420057,1.02,1.55,-0.12,shaking
25,2023-05-13 16:42:33.520426,-2.05,0.36,-0.85,shaking
26,2023-05-13 16:42:33.620449,-1.99,0.49,-0.54,shaking
27,2023-05-13 16:42:33.720512,2.43,1.56,0.35,shaking
28,2023-05-13 16:42:33.820920,5.21,0.04,1.82,shaking
29,2023-05-13 16:42:33.921403,0.78,1.39,-0.13,shaking
