,timestamp,acc_x,acc_y,acc_z,activity_label
0,2023-05-14 18:54:59.383418,-0.04,0.05,0.27,jumping
1,2023-05-14 18:54:59.404019,-0.04,0.05,0.27,jumping
2,2023-05-14 18:54:59.424047,-0.21,0.85,0.49,jumping
3,2023-05-14 18:54:59.444506,-0.21,0.85,0.49,jumping
4,2023-05-14 18:54:59.464999,0.17,-0.78,0.3,jumping
5,2023-05-14 18:54:59.485440,0.51,-1.41,0.43,jumping
6,2023-05-14 18:54:59.505706,0.51,-1.41,0.43,jumping
7,2023-05-14 18:54:59.525755,0.02,-0.42,0.29,jumping
8,2023-05-14 18:54:59.545882,0.02,-0.42,0.29,jumping
9,2023-05-14 18:54:59.565938,0.06,-0.5,0.03,jumping
10,2023-05-14 18:54:59.586005,0.06,-0.5,0.03,jumping
11,2023-05-14 18:54:59.606397,0.42,-0.5,0.02,jumping
12,2023-05-14 18:54:59.626438,0.23,0.34,-0.43,jumping
13,2023-05-14 18:54:59.646484,0.23,0.34,-0.43,jumping
14,2023-05-14 18:54:59.666883,0.23,0.34,-0.43,jumping
15,2023-05-14 18:54:59.687041,-0.01,0.25,-0.46,jumping
16,2023-05-14 18:54:59.707205,-0.11,0.35,-0.04,jumping
17,2023-05-14 18:54:59.727491,-0.11,0.35,-0.04,jumping
18,2023-05-14 18:54:59.747641,-0.25,0.67,-0.07,jumping
19,2023-05-14 18:54:59.768159,-0.25,0.67,-0.07,jumping
20,2023-05-14 18:54:59.788317,-0.1,0.46,0.25,jumping
21,2023-05-14 18:54:59.808482,-0.1,0.46,0.25,jumping
22,2023-05-14 18:54:59.828516,-0.04,0.75,0.8,jumping
23,2023-05-14 18:54:59.848979,-0.04,0.75,0.8,jumping
24,2023-05-14 18:54:59.869406,0.21,2.08,1.24,jumping
25,2023-05-14 18:54:59.889485,0.21,2.08,1.24,jumping
26,2023-05-14 18:54:59.909904,0.43,6.79,1.43,jumping
27,2023-05-14 18:54:59.930391,0.75,3.3,0.61,jumping
28,2023-05-14 18:54:59.950413,0.75,3.3,0.61,jumping
29,2023-05-14 18:54:59.970881,0.75,3.3,0.61,jumping
30,2023-05-14 18:54:59.990977,-0.19,3.92,0.78,jumping
31,2023-05-14 18:55:00.011313,-0.16,3.17,-0.1,jumping
32,2023-05-14 18:55:00.031347,-0.16,3.17,-0.1,jumping
33,2023-05-14 18:55:00.051387,0.05,1.35,0.32,jumping
34,2023-05-14 18:55:00.071883,0.05,1.35,0.32,jumping
35,2023-05-14 18:55:00.091963,-0.11,-0.22,0.55,jumping
36,2023-05-14 18:55:00.112391,0.15,-0.98,0.22,jumping
37,2023-05-14 18:55:00.132437,0.15,-0.98,0.22,jumping
38,2023-05-14 18:55:00.152486,0.12,-1.03,0.05,jumping
39,2023-05-14 18:55:00.172959,0.12,-1.03,0.05,jumping
40,2023-05-14 18:55:00.193219,0.04,-0.72,0.26,jumping
41,2023-05-14 18:55:00.213703,0.04,-0.72,0.26,jumping
42,2023-05-14 18:55:00.233747,0.12,-0.43,0.3,jumping
43,2023-05-14 18:55:00.253977,0.12,-0.43,0.3,jumping
44,2023-05-14 18:55:00.274407,0.13,-0.05,-0.04,jumping
45,2023-05-14 18:55:00.294449,0.13,-0.05,-0.04,jumping
46,2023-05-14 18:55:00.314956,0.03,0.51,-0.41,jumping
47,2023-05-14 18:55:00.335422,0.03,0.51,-0.41,jumping
48,2023-05-14 18:55:00.355475,-0.08,0.52,-0.42,jumping
49,2023-05-14 18:55:00.375500,-0.17,0.44,-0.04,jumping
50,2023-05-14 18:55:00.395658,-0.17,0.44,-0.04,jumping
51,2023-05-14 18:55:00.415698,-0.13,0.37,0.12,jumping
52,2023-05-14 18:55:00.435901,-0.13,0.37,0.12,jumping
53,2023-05-14 18:55:00.455972,0.11,-0.08,0.42,jumping
54,2023-05-14 18:55:00.476020,0.11,-0.08,0.42,jumping
55,2023-05-14 18:55:00.496429,0.3,0.79,1.38,jumping
56,2023-05-14 18:55:00.516706,0.3,0.79,1.38,jumping
57,2023-05-14 18:55:00.536938,0.49,3.83,1.2,jumping
58,2023-05-14 18:55:00.557396,0.49,3.83,1.2,jumping
59,2023-05-14 18:55:00.577488,2.3,4.63,-1.32,jumping
60,2023-05-14 18:55:00.597977,2.3,4.63,-1.32,jumping
61,2023-05-14 18:55:00.618069,0.44,4.04,0.84,jumping
62,2023-05-14 18:55:00.638576,-0.19,1.59,-0.26,jumping
63,2023-05-14 18:55:00.658997,-0.19,1.59,-0.26,jumping
64,2023-05-14 18:55:00.679076,-0.22,1.0,0.34,jumping
65,2023-05-14 18:55:00.699597,-0.22,1.0,0.34,jumping
66,2023-05-14 18:55:00.720089,-0.22,1.0,0.34,jumping
67,2023-05-14 18:55:00.740605,-0.04,-0.07,0.19,jumping
68,2023-05-14 18:55:00.760894,-0.04,-0.07,0.19,jumping
69,2023-05-14 18:55:00.781388,-0.04,-0.07,0.19,jumping
70,2023-05-14 18:55:00.801481,-0.04,-0.07,0.19,jumping
71,2023-05-14 18:55:00.821513,0.2,-1.13,-0.05,jumping
72,2023-05-14 18:55:00.841539,0.04,-1.3,0.82,jumping
73,2023-05-14 18:55:00.861961,-0.01,-0.35,0.29,jumping
74,2023-05-14 18:55:00.882056,-0.01,-0.35,0.29,jumping
75,2023-05-14 18:55:00.902569,-0.01,-0.35,0.29,jumping
76,2023-05-14 18:55:00.922821,-0.01,-0.35,0.29,jumping
77,2023-05-14 18:55:00.943207,-0.01,-0.35,0.29,jumping
78,2023-05-14 18:55:00.963495,-0.01,-0.35,0.29,jumping
79,2023-05-14 18:55:00.983899,0.06,0.19,-0.41,jumping
80,2023-05-14 18:55:01.003972,0.06,0.19,-0.41,jumping
81,2023-05-14 18:55:01.024240,0.06,0.19,-0.41,jumping
82,2023-05-14 18:55:01.044744,0.06,0.19,-0.41,jumping
83,2023-05-14 18:55:01.064774,0.03,0.32,-0.44,jumping
84,2023-05-14 18:55:01.084798,0.03,0.32,-0.44,jumping
85,2023-05-14 18:55:01.104944,0.01,0.32,-0.09,jumping
