,timestamp,acc_x,acc_y,acc_z,activity_label
0,2023-05-14 09:46:36.177850,0.3,0.86,-0.38,jumping
1,2023-05-14 09:46:36.198517,0.23,1.0,-0.22,jumping
2,2023-05-14 09:46:36.219012,0.23,1.0,-0.22,jumping
3,2023-05-14 09:46:36.239385,0.31,0.86,-0.45,jumping
4,2023-05-14 09:46:36.259420,0.3,0.91,-0.41,jumping
5,2023-05-14 09:46:36.279507,0.3,0.91,-0.41,jumping
6,2023-05-14 09:46:36.299537,0.16,0.99,-0.34,jumping
7,2023-05-14 09:46:36.320010,0.16,0.99,-0.34,jumping
8,2023-05-14 09:46:36.340515,0.27,0.92,-0.33,jumping
9,2023-05-14 09:46:36.360540,0.27,0.92,-0.33,jumping
10,2023-05-14 09:46:36.381013,0.33,0.94,-0.16,jumping
11,2023-05-14 09:46:36.401505,0.28,1.0,-0.2,jumping
12,2023-05-14 09:46:36.422011,0.28,1.0,-0.2,jumping
13,2023-05-14 09:46:36.442037,0.27,0.91,-0.32,jumping
14,2023-05-14 09:46:36.462512,0.27,0.91,-0.32,jumping
15,2023-05-14 09:46:36.483011,0.25,0.99,-0.21,jumping
16,2023-05-14 09:46:36.503509,0.25,0.99,-0.21,jumping
17,2023-05-14 09:46:36.524004,0.26,0.94,-0.23,jumping
18,2023-05-14 09:46:36.544038,0.26,0.94,-0.23,jumping
19,2023-05-14 09:46:36.564507,0.29,0.87,-0.16,jumping
20,2023-05-14 09:46:36.585008,0.29,0.87,-0.16,jumping
21,2023-05-14 09:46:36.605517,0.4,0.7,-0.14,jumping
22,2023-05-14 09:46:36.625534,0.4,0.7,-0.14,jumping
23,2023-05-14 09:46:36.646002,0.39,0.47,-0.21,jumping
24,2023-05-14 09:46:36.666534,0.39,0.47,-0.21,jumping
25,2023-05-14 09:46:36.687053,0.28,0.48,-0.06,jumping
26,2023-05-14 09:46:36.707497,0.41,0.6,0.09,jumping
27,2023-05-14 09:46:36.728005,0.41,0.6,0.09,jumping
28,2023-05-14 09:46:36.748507,0.54,1.62,-0.5,jumping
29,2023-05-14 09:46:36.769012,0.54,1.62,-0.5,jumping
30,2023-05-14 09:46:36.789387,0.57,3.54,-0.89,jumping
31,2023-05-14 09:46:36.809502,0.57,3.54,-0.89,jumping
32,2023-05-14 09:46:36.829997,0.72,2.59,-1.12,jumping
33,2023-05-14 09:46:36.850523,0.72,2.59,-1.12,jumping
34,2023-05-14 09:46:36.871003,-0.01,2.16,-0.06,jumping
35,2023-05-14 09:46:36.891495,-0.01,2.16,-0.06,jumping
36,2023-05-14 09:46:36.911999,0.68,0.09,-0.36,jumping
37,2023-05-14 09:46:36.932028,0.25,-0.09,-0.03,jumping
38,2023-05-14 09:46:36.952498,0.25,-0.09,-0.03,jumping
39,2023-05-14 09:46:36.973000,-0.35,-0.09,0.34,jumping
40,2023-05-14 09:46:36.993490,-0.35,-0.09,0.34,jumping
41,2023-05-14 09:46:37.013514,-0.07,0.02,0.01,jumping
42,2023-05-14 09:46:37.033536,-0.07,0.02,0.01,jumping
43,2023-05-14 09:46:37.053565,0.07,0.07,-0.05,jumping
44,2023-05-14 09:46:37.073583,0.07,0.07,-0.05,jumping
45,2023-05-14 09:46:37.093991,-0.06,0.18,-0.15,jumping
46,2023-05-14 09:46:37.114494,-0.06,0.18,-0.15,jumping
47,2023-05-14 09:46:37.134994,0.33,0.04,-0.06,jumping
48,2023-05-14 09:46:37.155487,0.33,0.04,-0.06,jumping
49,2023-05-14 09:46:37.176004,0.32,-0.01,0.07,jumping
50,2023-05-14 09:46:37.196491,0.32,-0.01,0.07,jumping
51,2023-05-14 09:46:37.217006,0.03,0.15,0.14,jumping
52,2023-05-14 09:46:37.237516,0.46,1.3,-0.42,jumping
53,2023-05-14 09:46:37.257995,0.46,1.3,-0.42,jumping
54,2023-05-14 09:46:37.278491,0.94,3.42,-0.97,jumping
55,2023-05-14 09:46:37.299001,0.94,3.42,-0.97,jumping
56,2023-05-14 09:46:37.319493,0.77,3.81,-1.15,jumping
57,2023-05-14 09:46:37.340003,0.77,3.81,-1.15,jumping
58,2023-05-14 09:46:37.360484,0.71,3.27,-0.56,jumping
59,2023-05-14 09:46:37.380998,0.71,3.27,-0.56,jumping
60,2023-05-14 09:46:37.401501,0.64,1.03,0.1,jumping
61,2023-05-14 09:46:37.422016,0.64,1.03,0.1,jumping
62,2023-05-14 09:46:37.442482,0.16,-0.45,-0.31,jumping
63,2023-05-14 09:46:37.462501,0.16,-0.45,-0.31,jumping
64,2023-05-14 09:46:37.482605,-0.25,-0.3,-0.07,jumping
65,2023-05-14 09:46:37.502982,-0.25,-0.3,-0.07,jumping
66,2023-05-14 09:46:37.523476,-0.37,-0.02,0.59,jumping
67,2023-05-14 09:46:37.543496,0.18,-0.04,0.01,jumping
68,2023-05-14 09:46:37.563976,0.18,-0.04,0.01,jumping
69,2023-05-14 09:46:37.584482,0.41,0.15,-0.27,jumping
70,2023-05-14 09:46:37.604687,0.41,0.15,-0.27,jumping
71,2023-05-14 09:46:37.624946,0.24,0.13,-0.04,jumping
72,2023-05-14 09:46:37.645086,0.24,0.13,-0.04,jumping
73,2023-05-14 09:46:37.665476,0.29,-0.0,0.09,jumping
74,2023-05-14 09:46:37.685621,0.29,-0.0,0.09,jumping
75,2023-05-14 09:46:37.705987,0.16,0.18,0.02,jumping
76,2023-05-14 09:46:37.726085,0.16,0.18,0.02,jumping
77,2023-05-14 09:46:37.746477,0.49,1.77,0.03,jumping
78,2023-05-14 09:46:37.766986,0.49,1.77,0.03,jumping
79,2023-05-14 09:46:37.787071,1.38,3.91,-0.74,jumping
80,2023-05-14 09:46:37.807472,1.38,3.91,-0.74,jumping
81,2023-05-14 09:46:37.827980,0.52,3.78,-1.19,jumping
82,2023-05-14 09:46:37.848476,0.1,2.63,-0.12,jumping
83,2023-05-14 09:46:37.868980,0.1,2.63,-0.12,jumping
84,2023-05-14 09:46:37.889473,0.64,0.15,0.12,jumping
85,2023-05-14 09:46:37.909972,0.64,0.15,0.12,jumping
86,2023-05-14 09:46:37.930503,0.55,-0.32,0.24,jumping
87,2023-05-14 09:46:37.950520,0.55,-0.32,0.24,jumping
88,2023-05-14 09:46:37.970975,0.1,-0.27,-0.28,jumping
89,2023-05-14 09:46:37.991012,0.1,-0.27,-0.28,jumping
90,2023-05-14 09:46:38.011423,-0.17,-0.18,-0.33,jumping
91,2023-05-14 09:46:38.031474,-0.17,-0.18,-0.33,jumping
92,2023-05-14 09:46:38.051495,0.07,-0.04,-0.04,jumping
93,2023-05-14 09:46:38.071983,0.07,-0.04,-0.04,jumping
94,2023-05-14 09:46:38.092506,0.39,-0.04,0.1,jumping
95,2023-05-14 09:46:38.112971,0.39,-0.04,0.1,jumping
96,2023-05-14 09:46:38.133475,0.26,-0.0,0.08,jumping
97,2023-05-14 09:46:38.153994,0.26,-0.0,0.08,jumping
98,2023-05-14 09:46:38.174012,0.31,-0.08,0.05,jumping
99,2023-05-14 09:46:38.194469,0.35,0.45,0.14,jumping
100,2023-05-14 09:46:38.214491,0.35,0.45,0.14,jumping
101,2023-05-14 09:46:38.234969,0.52,2.78,-0.32,jumping
102,2023-05-14 09:46:38.255471,0.52,2.78,-0.32,jumping
103,2023-05-14 09:46:38.275490,1.38,4.06,-1.05,jumping
104,2023-05-14 09:46:38.295964,1.38,4.06,-1.05,jumping
105,2023-05-14 09:46:38.315991,0.73,3.64,-0.67,jumping
106,2023-05-14 09:46:38.336503,0.73,3.64,-0.67,jumping
107,2023-05-14 09:46:38.356975,0.15,2.37,0.1,jumping
108,2023-05-14 09:46:38.377459,0.31,0.82,-0.09,jumping
109,2023-05-14 09:46:38.397965,0.31,0.82,-0.09,jumping
110,2023-05-14 09:46:38.418466,0.56,-0.31,0.0,jumping
111,2023-05-14 09:46:38.438957,0.56,-0.31,0.0,jumping
112,2023-05-14 09:46:38.459456,0.21,-0.44,-0.26,jumping
113,2023-05-14 09:46:38.479960,0.21,-0.44,-0.26,jumping
114,2023-05-14 09:46:38.500001,-0.22,-0.03,-0.02,jumping
115,2023-05-14 09:46:38.520426,-0.22,-0.03,-0.02,jumping
116,2023-05-14 09:46:38.540972,0.05,0.08,-0.01,jumping
117,2023-05-14 09:46:38.561463,0.05,0.08,-0.01,jumping
118,2023-05-14 09:46:38.581482,0.2,-0.12,-0.25,jumping
119,2023-05-14 09:46:38.601966,0.2,-0.12,-0.25,jumping
120,2023-05-14 09:46:38.622459,0.24,-0.08,-0.26,jumping
121,2023-05-14 09:46:38.642480,0.24,-0.08,-0.26,jumping
122,2023-05-14 09:46:38.662500,0.28,0.05,0.29,jumping
123,2023-05-14 09:46:38.682963,0.34,0.15,0.09,jumping
124,2023-05-14 09:46:38.703456,0.34,0.15,0.09,jumping
125,2023-05-14 09:46:38.723955,0.35,1.66,-0.2,jumping
126,2023-05-14 09:46:38.744455,0.35,1.66,-0.2,jumping
127,2023-05-14 09:46:38.764479,1.16,3.67,-0.59,jumping
128,2023-05-14 09:46:38.784954,1.16,3.67,-0.59,jumping
129,2023-05-14 09:46:38.805466,1.36,3.49,-1.11,jumping
130,2023-05-14 09:46:38.825490,1.36,3.49,-1.11,jumping
131,2023-05-14 09:46:38.845947,0.63,3.1,-0.05,jumping
132,2023-05-14 09:46:38.865967,0.63,3.1,-0.05,jumping
133,2023-05-14 09:46:38.886485,0.82,0.73,0.23,jumping
134,2023-05-14 09:46:38.906955,0.82,0.73,0.23,jumping
135,2023-05-14 09:46:38.927445,0.1,-0.22,-0.3,jumping
136,2023-05-14 09:46:38.947954,0.1,-0.22,-0.3,jumping
137,2023-05-14 09:46:38.968452,-0.1,-0.34,-0.27,jumping
