,timestamp,acc_x,acc_y,acc_z,activity_label
0,2023-05-13 16:40:12.893820,0.32,0.9,-0.26,jumping
1,2023-05-13 16:40:12.994265,0.15,1.08,-0.11,jumping
2,2023-05-13 16:40:13.094289,0.1,1.04,-0.03,jumping
3,2023-05-13 16:40:13.194339,0.08,1.01,-0.17,jumping
4,2023-05-13 16:40:13.294358,0.12,1.01,-0.07,jumping
5,2023-05-13 16:40:13.394754,0.15,0.99,-0.09,jumping
6,2023-05-13 16:40:13.495281,0.14,1.03,0.01,jumping
7,2023-05-13 16:40:13.595299,0.21,0.81,-0.03,jumping
8,2023-05-13 16:40:13.695756,0.24,0.53,0.02,jumping
9,2023-05-13 16:40:13.796244,0.14,1.69,-0.01,jumping
10,2023-05-13 16:40:13.896264,-0.4,2.97,-0.44,jumping
11,2023-05-13 16:40:13.996307,-0.09,-0.01,0.27,jumping
12,2023-05-13 16:40:14.096324,-0.07,-0.01,-0.17,jumping
13,2023-05-13 16:40:14.196343,0.24,-0.13,0.15,jumping
14,2023-05-13 16:40:14.296735,0.13,0.17,0.04,jumping
15,2023-05-13 16:40:14.397182,0.58,3.6,-1.23,jumping
16,2023-05-13 16:40:14.497202,0.35,0.78,0.2,jumping
17,2023-05-13 16:40:14.597230,0.14,-0.14,0.07,jumping
18,2023-05-13 16:40:14.697725,0.12,0.0,0.05,jumping
19,2023-05-13 16:40:14.798219,0.26,0.11,-0.19,jumping
20,2023-05-13 16:40:14.898244,0.04,2.88,-0.52,jumping
21,2023-05-13 16:40:14.998262,-0.45,2.94,-0.19,jumping
22,2023-05-13 16:40:15.098715,0.12,-0.13,0.13,jumping
23,2023-05-13 16:40:15.199219,-0.12,0.09,-0.07,jumping
24,2023-05-13 16:40:15.299236,0.21,0.06,0.14,jumping
25,2023-05-13 16:40:15.399714,0.29,1.73,0.1,jumping
26,2023-05-13 16:40:15.500212,-0.56,3.29,-0.01,jumping
27,2023-05-13 16:40:15.600228,0.52,0.07,-0.04,jumping
28,2023-05-13 16:40:15.700291,-0.16,-0.06,-0.18,jumping
29,2023-05-13 16:40:15.800699,0.5,-0.08,0.01,jumping
