,timestamp,acc_x,acc_y,acc_z,activity_label
0,2023-05-14 18:30:16.599982,1.02,0.08,0.01,lying
1,2023-05-14 18:30:16.620479,1.09,-0.24,-0.06,lying
2,2023-05-14 18:30:16.640502,1.09,-0.24,-0.06,lying
3,2023-05-14 18:30:16.660710,1.03,0.02,0.05,lying
4,2023-05-14 18:30:16.681220,1.04,0.05,0.01,lying
5,2023-05-14 18:30:16.701483,1.04,0.05,0.01,lying
6,2023-05-14 18:30:16.721508,1.0,0.08,-0.1,lying
7,2023-05-14 18:30:16.741719,1.0,0.08,-0.1,lying
8,2023-05-14 18:30:16.762247,1.02,0.02,-0.11,lying
9,2023-05-14 18:30:16.782714,1.02,0.02,-0.11,lying
10,2023-05-14 18:30:16.803233,1.0,0.02,-0.04,lying
11,2023-05-14 18:30:16.823472,1.0,0.02,-0.04,lying
12,2023-05-14 18:30:16.843980,1.06,0.06,0.01,lying
13,2023-05-14 18:30:16.864480,1.06,0.06,0.01,lying
14,2023-05-14 18:30:16.884973,1.03,0.04,-0.02,lying
15,2023-05-14 18:30:16.905483,1.03,0.04,-0.02,lying
16,2023-05-14 18:30:16.925981,1.02,0.01,-0.06,lying
17,2023-05-14 18:30:16.946486,1.02,0.01,-0.06,lying
18,2023-05-14 18:30:16.966971,1.03,0.03,-0.05,lying
19,2023-05-14 18:30:16.987471,1.02,0.06,-0.05,lying
20,2023-05-14 18:30:17.007977,1.02,0.06,-0.05,lying
21,2023-05-14 18:30:17.028202,1.02,0.01,-0.04,lying
22,2023-05-14 18:30:17.048708,1.02,0.01,-0.04,lying
23,2023-05-14 18:30:17.069219,1.03,0.01,-0.01,lying
24,2023-05-14 18:30:17.089267,1.03,0.01,-0.01,lying
25,2023-05-14 18:30:17.109739,1.02,0.03,-0.09,lying
26,2023-05-14 18:30:17.129764,1.02,0.03,-0.09,lying
27,2023-05-14 18:30:17.149805,1.02,0.0,-0.01,lying
28,2023-05-14 18:30:17.170221,1.02,0.0,-0.01,lying
29,2023-05-14 18:30:17.190738,1.02,0.03,-0.01,lying
30,2023-05-14 18:30:17.211153,1.02,0.03,-0.01,lying
31,2023-05-14 18:30:17.231229,1.02,0.04,-0.05,lying
32,2023-05-14 18:30:17.251559,1.02,0.04,-0.05,lying
33,2023-05-14 18:30:17.271704,1.02,0.02,-0.06,lying
34,2023-05-14 18:30:17.291723,1.03,-0.0,0.01,lying
35,2023-05-14 18:30:17.311962,1.03,-0.0,0.01,lying
36,2023-05-14 18:30:17.332460,1.02,0.0,-0.04,lying
37,2023-05-14 18:30:17.352977,1.02,0.0,-0.04,lying
38,2023-05-14 18:30:17.373270,1.02,0.04,-0.02,lying
39,2023-05-14 18:30:17.393468,1.02,0.04,-0.02,lying
40,2023-05-14 18:30:17.413974,1.02,0.01,-0.08,lying
41,2023-05-14 18:30:17.434460,1.02,0.01,-0.08,lying
42,2023-05-14 18:30:17.454507,1.03,0.02,0.0,lying
43,2023-05-14 18:30:17.474957,1.03,0.02,0.0,lying
44,2023-05-14 18:30:17.495143,1.02,0.03,-0.01,lying
45,2023-05-14 18:30:17.515441,1.02,0.03,-0.01,lying
46,2023-05-14 18:30:17.535461,1.02,0.02,-0.04,lying
47,2023-05-14 18:30:17.555970,1.02,0.03,-0.04,lying
48,2023-05-14 18:30:17.576480,1.02,0.03,-0.04,lying
49,2023-05-14 18:30:17.596970,1.02,0.03,0.04,lying
50,2023-05-14 18:30:17.617501,1.02,0.03,0.04,lying
51,2023-05-14 18:30:17.637941,1.02,0.02,-0.03,lying
52,2023-05-14 18:30:17.658448,1.02,0.02,-0.03,lying
53,2023-05-14 18:30:17.678713,1.02,0.03,-0.05,lying
54,2023-05-14 18:30:17.698991,1.02,0.03,-0.05,lying
55,2023-05-14 18:30:17.719453,1.02,0.02,-0.01,lying
56,2023-05-14 18:30:17.739952,1.02,0.02,-0.01,lying
57,2023-05-14 18:30:17.759987,1.02,0.01,-0.03,lying
58,2023-05-14 18:30:17.780458,1.02,0.03,-0.03,lying
59,2023-05-14 18:30:17.800971,1.02,0.03,-0.03,lying
60,2023-05-14 18:30:17.821207,1.02,0.01,-0.01,lying
61,2023-05-14 18:30:17.841262,1.02,0.01,-0.01,lying
62,2023-05-14 18:30:17.861713,1.02,0.03,-0.03,lying
63,2023-05-14 18:30:17.882217,1.02,0.03,-0.03,lying
