,timestamp,acc_x,acc_y,acc_z,activity_label
0,2023-05-13 16:41:45.196590,0.88,-0.21,0.46,lying
1,2023-05-13 16:41:45.296858,0.87,-0.24,0.4,lying
2,2023-05-13 16:41:45.397068,0.96,-0.26,0.35,lying
3,2023-05-13 16:41:45.497568,0.92,-0.23,0.39,lying
4,2023-05-13 16:41:45.598062,0.95,-0.25,0.33,lying
5,2023-05-13 16:41:45.698562,0.93,-0.25,0.32,lying
6,2023-05-13 16:41:45.799093,0.91,-0.26,0.35,lying
7,2023-05-13 16:41:45.899115,0.94,-0.25,0.35,lying
8,2023-05-13 16:41:45.999162,0.95,-0.26,0.34,lying
9,2023-05-13 16:41:46.099557,0.95,-0.26,0.35,lying
10,2023-05-13 16:41:46.199975,0.93,-0.25,0.34,lying
11,2023-05-13 16:41:46.300040,0.93,-0.25,0.35,lying
12,2023-05-13 16:41:46.400068,0.95,-0.26,0.35,lying
13,2023-05-13 16:41:46.500483,0.93,-0.26,0.32,lying
14,2023-05-13 16:41:46.600536,0.93,-0.25,0.35,lying
15,2023-05-13 16:41:46.700633,0.94,-0.25,0.35,lying
16,2023-05-13 16:41:46.801035,0.94,-0.26,0.35,lying
17,2023-05-13 16:41:46.901055,0.92,-0.25,0.34,lying
18,2023-05-13 16:41:47.001079,0.93,-0.25,0.34,lying
19,2023-05-13 16:41:47.101525,0.93,-0.27,0.33,lying
20,2023-05-13 16:41:47.202029,0.93,-0.25,0.35,lying
21,2023-05-13 16:41:47.302049,0.93,-0.25,0.34,lying
22,2023-05-13 16:41:47.402078,0.94,-0.26,0.34,lying
23,2023-05-13 16:41:47.502516,0.91,-0.25,0.35,lying
24,2023-05-13 16:41:47.603015,0.93,-0.26,0.34,lying
25,2023-05-13 16:41:47.703039,0.91,-0.24,0.33,lying
26,2023-05-13 16:41:47.803512,0.92,-0.24,0.35,lying
27,2023-05-13 16:41:47.904002,0.92,-0.26,0.35,lying
28,2023-05-13 16:41:48.004024,0.93,-0.25,0.34,lying
29,2023-05-13 16:41:48.104099,0.94,-0.25,0.36,lying
