,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
2023-05-11 20:12:30.579546,0.03,0.02,1.0,0.49,1.28,1.77,No Label
2023-05-11 20:12:30.777543,0.03,0.02,1.0,0.61,1.34,1.71,No Label
2023-05-11 20:12:30.977556,0.03,0.02,1.0,0.67,1.4,1.77,No Label
2023-05-11 20:12:31.177735,0.03,0.02,1.0,0.55,1.22,1.71,No Label
2023-05-11 20:12:31.377523,0.03,0.03,1.0,0.79,1.4,1.77,No Label
2023-05-11 20:12:31.577535,0.03,0.02,1.0,0.55,1.34,2.14,No Label
2023-05-11 20:12:31.777735,0.03,0.02,1.0,0.61,1.22,1.77,No Label
2023-05-11 20:16:07.719579,0.03,0.02,1.0,0.61,1.22,1.83,No Label
2023-05-11 20:16:07.924832,0.03,0.02,0.99,0.85,1.16,1.83,No Label
2023-05-11 20:16:08.125303,0.03,0.03,0.99,0.73,1.16,1.89,No Label
2023-05-11 20:16:08.325001,0.03,0.03,1.0,0.55,1.4,1.89,No Label
2023-05-11 20:16:08.524669,0.03,0.02,1.0,0.55,1.34,1.83,No Label
2023-05-11 20:16:08.724423,0.03,0.02,1.0,0.43,1.1,1.83,No Label
2023-05-11 20:16:08.924779,0.03,0.02,0.99,0.55,1.28,1.77,No Label
2023-05-11 20:16:09.125110,0.03,0.02,0.99,0.67,1.16,1.71,No Label
2023-05-11 20:16:09.324853,0.03,0.02,0.99,0.55,1.1,1.71,No Label
2023-05-11 20:16:09.525416,0.03,0.02,1.0,0.49,1.34,1.89,No Label
2023-05-11 20:16:09.725779,0.03,0.02,1.0,0.92,1.1,2.01,No Label
2023-05-11 20:16:09.925671,0.03,0.02,0.99,0.37,1.34,2.14,No Label
